Community,Genre,Presence (%),Increase (%),Status
0,Immersive sims,1.98,574.52,+++ Overrepresented +++
0,Survival horror video games,1.16,521.27,+++ Overrepresented +++
0,Stealth video games,10.4,415.71,+++ Overrepresented +++
0,Soulslike video games,1.24,321.58,+++ Overrepresented +++
0,Psychological horror games,2.89,304.25,+++ Overrepresented +++
0,Neo-noir video games,1.4,277.2,+++ Overrepresented +++
0,Open-world video games,16.58,232.3,+++ Overrepresented +++
0,Action-adventure games,22.03,217.07,+++ Overrepresented +++
0,Survival video games,4.7,202.26,+++ Overrepresented +++
0,Art games,1.4,165.44,+++ Overrepresented +++
0,Sandbox games,0.25,152.95,+++ Overrepresented +++
0,Hack and slash games,4.54,150.67,+++ Overrepresented +++
0,Mystery video games,0.58,136.08,+++ Overrepresented +++
0,Horror video games,0.91,131.87,+++ Overrepresented +++
0,Beat 'em ups,1.32,56.87,+++ Overrepresented +++
0,Adventure games,6.19,28.79,+++ Overrepresented +++
0,Action games,2.81,-22.1,--- Underrepresented ---
0,Metroidvania games,0.99,-25.6,--- Underrepresented ---
0,Puzzle video games,2.89,-27.31,--- Underrepresented ---
0,Roguelike video games,0.66,-33.87,--- Underrepresented ---
0,Party video games,0.5,-39.05,--- Underrepresented ---
0,Strategy video games,0.58,-44.84,--- Underrepresented ---
0,Role-playing video games,4.95,-45.43,--- Underrepresented ---
0,Simulation video games,0.25,-50.4,--- Underrepresented ---
0,Platformers,2.72,-59.44,--- Underrepresented ---
0,Construction and management simulation games,0.08,-63.34,--- Underrepresented ---
0,Pinball video games,0.08,-68.77,--- Underrepresented ---
0,Fighting games,0.66,-80.89,--- Underrepresented ---
0,Tactical role-playing video games,0.33,-83.55,--- Underrepresented ---
1,Dress-up video games,0.12,1156.95,+++ Overrepresented +++
1,Party video games,5.04,520.9,+++ Overrepresented +++
1,Educational video games,0.25,259.13,+++ Overrepresented +++
1,Pinball video games,0.86,225.88,+++ Overrepresented +++
1,Metroidvania games,4.31,223.48,+++ Overrepresented +++
1,Puzzle video games,11.32,184.83,+++ Overrepresented +++
1,Racing video games,8.24,177.03,+++ Overrepresented +++
1,Platformers,15.62,132.7,+++ Overrepresented +++
1,Action games,7.13,98.11,+++ Overrepresented +++
1,Action-adventure games,13.53,94.74,+++ Overrepresented +++
1,Shooter games,1.11,91.74,+++ Overrepresented +++
1,Simulation video games,0.86,72.52,+++ Overrepresented +++
1,Tactical role-playing video games,3.32,65.55,+++ Overrepresented +++
1,Art games,0.86,62.94,+++ Overrepresented +++
1,Hack and slash games,2.46,35.89,+++ Overrepresented +++
1,Role-playing video games,6.03,-33.56,--- Underrepresented ---
1,Fighting games,1.6,-53.71,--- Underrepresented ---
1,Immersive sims,0.12,-58.1,--- Underrepresented ---
1,Roguelike video games,0.37,-63.03,--- Underrepresented ---
1,Strategy video games,0.37,-64.76,--- Underrepresented ---
1,Survival video games,0.37,-76.28,--- Underrepresented ---
1,Eroge,0.12,-77.95,--- Underrepresented ---
2,Quiz video games,0.57,1846.48,+++ Overrepresented +++
2,Shooter games,3.43,493.84,+++ Overrepresented +++
2,Interactive movie video games,4.0,459.95,+++ Overrepresented +++
2,Pinball video games,1.14,332.55,+++ Overrepresented +++
2,Educational video games,0.29,317.1,+++ Overrepresented +++
2,Racing video games,10.86,264.96,+++ Overrepresented +++
2,Action games,12.86,257.03,+++ Overrepresented +++
2,Platformers,23.71,253.26,+++ Overrepresented +++
2,Puzzle video games,12.0,202.04,+++ Overrepresented +++
2,Sports video games,0.29,165.43,+++ Overrepresented +++
2,Art games,1.14,116.28,+++ Overrepresented +++
2,Party video games,1.14,40.71,+++ Overrepresented +++
2,Metroidvania games,1.71,28.81,+++ Overrepresented +++
2,Role-playing video games,7.43,-18.11,--- Underrepresented ---
2,Beat 'em ups,0.57,-32.1,--- Underrepresented ---
2,Hack and slash games,1.14,-36.87,--- Underrepresented ---
2,Adventure games,2.29,-52.43,--- Underrepresented ---
2,Fighting games,1.14,-66.92,--- Underrepresented ---
